id,label,language,name,semester,ssd,title,type,year
2535,Module,Italian,,Second Semester,ICAR/09,SEISMIC DESIGN OF PRECAST CONCRETE AND LAMINATED TIMBER BUILDINGS,,2024/2025
2536,Module,Italian,,Second Semester,ICAR/09,GESTIONE DI PONTI E GRANDI STRUTTURE,,2024/2025
2537,Module,Italian,,Second Semester,ICAR/08,FINITE ELEMENTS IN STRUCTURAL ANALYSIS,,2024/2025
2538,Module,Italian,,Second Semester,ICAR/09,ANALYSIS AND REDUCTION OF COSTRUCTION SEISMIC RISK,,2024/2025
2539,Module,Italian,,Second Semester,ICAR/09,RIABILITAZIONE STRUTTURALE DI COSTRUZIONI IN MURATURA II,,2024/2025
2540,Curriculum,,Ingegneria Civile (percorso valido anche ai fini del conseguimento del doppio  titolo italo-francese e italo-spagnolo),,,,,
2541,Module,Italian,,Second Semester,,PROGETTO DI OPERE IDRAULICHE,,2024/2025
2542,Module,Italian,,First Semester,ICAR/02,PROGETTO DI OPERE IDRAULICHE I,,2024/2025
12896,Instructor,,,,ICAR/02,,,
2544,Module,Italian,,Second Semester,,FONDAZIONI E OPERE DI SOSTEGNO,,2024/2025
2545,Module,Italian,,First Semester,ICAR/07,FONDAZIONI E OPERE DI SOSTEGNO I,,2024/2025
2546,Module,Italian,,Second Semester,,PROGETTO DI COSTRUZIONI ANTISISMICHE,,2024/2025
2547,Module,Italian,,First Semester,ICAR/09,PROGETTO DI COSTRUZIONI ANTISISMICHE I,,2024/2025
15029,Instructor,,,,ICAR/09,,,
2549,Module,Italian,,First Semester,IUS/10,LEGISLAZIONE DELLE OPERE PUBBLICHE E DEI LAVORI,,2024/2025
2550,Module,Italian,,First Semester,ICAR/20,TECNICA URBANISTICA,,2024/2025
2551,Module,Italian,,First Semester,ICAR/06,MONITORAGGIO GEOMATICO,,2024/2025
13941,Instructor,,,,ICAR/06,,,
2553,Module,Italian,,Second Semester,,PROGETTO E COSTRUZIONE DI STRADE,,2024/2025
2554,Module,Italian,,First Semester,ICAR/04,PROGETTO DI STRADE,,2024/2025
2555,Module,Italian,,Second Semester,ICAR/02,PROGETTO DI OPERE IDRAULICHE II,,2024/2025
2556,Module,Italian,,Second Semester,ICAR/04,COSTRUZIONE DI STRADE,,2024/2025
2557,Module,Italian,,Second Semester,ICAR/07,FONDAZIONI E OPERE DI SOSTEGNO II,,2024/2025
2558,Module,Italian,,Second Semester,ICAR/09,PROGETTO DI COSTRUZIONI ANTISISMICHE II,,2024/2025
2559,Module,Italian,,Second Semester,ING-IND/33,PRINCIPI DI INGEGNERIA ELETTRICA,,2024/2025
2560,Module,Italian,,First Semester,ICAR/07,COMPLEMENTI DI MECCANICA DELLE TERRE,,2024/2025
2561,Module,Italian,,First Semester,ICAR/01,IDRAULICA NUMERICA E SPERIMENTALE,,2024/2025
2562,Module,Italian,,First Semester,ICAR/01,IDRAULICA FLUVIALE,,2024/2025
2563,Module,Italian,,First Semester,ICAR/04,INFRASTRUTTURE AEROPORTUALI,,2023/2024
2564,Module,Italian,,First Semester,ICAR/04,INFRASTRUTTURE FERROVIARIE,,2024/2025
2565,Module,Italian,,First Semester,ICAR/04,TECNICA DELLE COSTRUZIONI STRADALI,,2024/2025
12797,Instructor,,,,CEAR-03/A,,,
2567,Module,Italian,,First Semester,ICAR/08,TEORIA DELLE STRUTTURE,,2024/2025
2568,Module,Italian,,First Semester,ICAR/09,ADVANCED STRUCTURAL DESIGN,,2024/2025
2569,Module,Italian,,First Semester,ICAR/09,STEEL STRUCTURES DESIGN,,2024/2025
2570,Module,Italian,,First Semester,ICAR/09,TEORIA E PROGETTO DI PONTI,,2024/2025
13794,Instructor,,,,,,,
2572,Module,Italian,,First Semester,ICAR/08,MECCANICA DELLE STRUTTURE BIDIMENSIONALI,,2024/2025
2573,Module,Italian,,First Semester,ICAR/09,RIABILITAZIONE STRUTTURALE DI COSTRUZIONI IN MURATURA I,,2024/2025
2574,Module,Italian,,First Semester,ICAR/09,STRUCTURAL AND SEISMIC ASSESSMENT AND RETROFIT STRATEGIES FOR EXISTING REINFORCED CONCRETE BUILDINGS,,2024/2025
2575,Module,Italian,,Second Semester,ICAR/07,GALLERIE PROFONDE,,2024/2025
2576,Module,Italian,,Second Semester,ICAR/07,SLOPE STABILITY,,2024/2025
2577,Module,Italian,,Second Semester,ICAR/07,GEOTECHNICAL EARTHQUAKE ENGINEERING,,2024/2025
2578,Module,Italian,,Second Semester,ICAR/02,DIGHE E INVASI,,2024/2025
2579,Module,Italian,,Second Semester,ICAR/02,HYDRAULIC RISK ADAPTATION AND MITIGATION MEASURES,,2024/2025
2580,DegreeProgram,N/D,Sustainable Transportation and Electrical Power Systems - Ingegneria Elettrotecnica,,,,Laurea,
2581,Curriculum,,Sustainable transportation,,,,,
2582,Module,Inglese,,First Semester,ING-IND/32,DESIGN OF HYBRID HEV AND ELECTRIC VEHICLES EV,,2024/2025
2583,Module,Inglese,,First Semester,ING-IND/32,ENERGY STORING AND RECOVERING IN POWER SYSTEMS AND HYBRID ELECTRIC VEHICLES,,2024/2025
2584,Module,Inglese,,First Semester,,SUSTAINABLE TRANSPORTATION LABORATORY AND PROJECT AND ELECTROMAGNETIC COMPATIBILITY,,2024/2025
